"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"Ethiopia","ETH","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",38,39,40,40,41,41,42,42,42,43,43,43,43,44,44,44,44,44,44,44,44,44,44,44,44,45,45,46,46,47,47,48,48,48,49,49,50,50,51,51,52,53,53,54,55,56,57,58,59,60,61,62
"Finland","FIN","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",69,69,69,69,69,69,69,70,70,70,70,70,71,71,71,72,72,72,73,73,73,74,74,74,75,74,75,75,75,75,75,75,75,76,76,76,77,77,77,77,77,78,78,78,79,79,79,79,80,80,80,80
"Fiji","FJI","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",56,56,57,57,58,58,58,59,59,60,60,60,61,61,61,62,62,62,62,63,63,63,64,64,64,64,65,65,65,65,66,66,66,66,66,67,67,67,67,67,68,68,68,68,68,68,69,69,69,69,69,70
"France","FRA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",70,70,70,71,71,71,71,71,71,71,72,72,72,72,73,73,73,73,74,74,74,74,74,75,75,75,76,76,76,76,77,77,77,77,78,78,78,78,79,79,79,79,79,79,80,80,81,81,81,81,82,82
"Gabon","GAB","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",40,40,40,41,42,42,43,44,45,46,47,47,48,49,50,51,52,52,53,54,55,56,57,58,58,59,60,60,61,61,61,61,61,61,61,61,61,60,60,60,59,59,59,59,59,59,60,60,61,62,62,63
"United Kingdom","GBR","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",71,71,71,71,72,72,72,72,72,72,72,72,72,72,73,73,73,73,73,73,74,74,74,74,75,75,75,75,75,76,76,76,76,76,77,77,77,77,77,77,78,78,78,78,79,79,79,79,80,80,80,81
"Georgia","GEO","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",63,64,64,65,65,65,66,66,67,67,67,67,68,68,68,69,69,69,69,69,69,69,69,70,70,70,70,70,70,70,70,70,70,70,70,70,70,71,71,71,72,72,72,72,73,73,73,73,73,74,74,74
"Ghana","GHA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",46,46,47,47,47,48,48,48,49,49,49,50,50,50,51,51,51,51,52,52,52,53,53,53,54,54,55,55,56,56,57,57,57,58,58,58,57,57,57,57,57,57,57,58,58,59,59,60,60,60,61,61
"Guinea","GIN","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",35,35,35,35,36,36,36,36,36,36,37,37,37,38,38,38,39,39,40,41,41,42,43,44,44,45,46,47,48,49,50,51,51,51,52,52,52,52,51,51,51,51,51,52,52,53,53,54,55,56,56,57
"Gambia, The","GMB","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",32,32,33,33,34,34,35,35,36,37,38,39,40,40,41,42,43,44,45,46,46,47,48,49,49,50,51,51,52,52,52,52,53,53,53,53,54,54,55,55,56,56,57,57,57,58,58,59,59,59,59,60
"Guinea-Bissau","GNB","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",38,38,38,39,39,40,40,40,41,41,42,42,42,43,43,43,44,44,45,45,46,46,46,47,47,47,48,48,48,49,49,49,50,50,50,51,51,51,51,51,51,52,52,52,52,52,53,53,53,53,54,54
"Equatorial Guinea","GNQ","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",37,37,37,38,38,38,39,39,39,39,40,40,40,41,41,41,41,42,42,43,44,44,45,46,46,46,47,47,47,48,48,49,49,49,50,50,51,51,51,52,52,52,53,53,53,54,54,55,55,55,56,56
"Greece","GRC","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",68,69,69,69,69,70,70,70,70,71,71,71,72,72,72,72,73,73,73,73,74,74,74,75,75,75,75,76,76,77,77,77,77,77,78,78,78,78,78,78,78,78,79,79,79,79,79,79,80,80,80,81
"Greenland","GRL","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",53,54,54,55,55,55,56,56,57,57,57,58,58,59,59,59,60,60,63,64,63,63,63,63,63,64,64,65,65,65,65,65,65,66,66,66,66,66,66,66,67,68,68,68,69,69,69,70,70,70,71,71
