"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"Guatemala","GTM","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",46,46,47,47,48,49,49,50,51,51,52,53,53,54,55,55,56,56,56,57,57,58,58,59,59,60,60,61,61,62,62,63,63,64,64,65,66,66,67,67,68,68,69,69,69,70,70,70,70,71,71,71
"Guyana","GUY","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",60,60,61,61,61,61,61,61,62,62,62,62,62,62,62,62,62,62,62,63,63,63,63,63,63,63,63,63,63,63,64,64,64,64,64,64,64,65,65,65,65,65,65,65,65,66,66,66,66,66,66,66
"Honduras","HND","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",46,47,48,48,49,50,50,51,51,52,53,53,54,54,55,56,57,57,58,59,60,60,61,62,63,64,64,65,66,66,67,67,68,68,68,69,69,70,70,70,70,71,71,71,71,71,72,72,72,72,72,73
"Croatia","HRV","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",65,65,65,66,66,67,67,67,68,68,68,69,69,69,69,70,70,71,71,70,70,70,70,70,70,71,71,71,71,72,72,72,71,72,72,72,72,72,72,73,73,75,75,75,76,75,76,76,76,76,76,77
"Haiti","HTI","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",42,43,43,44,44,45,45,46,46,47,47,48,48,48,49,49,49,50,50,51,51,51,52,52,52,53,53,53,54,54,55,55,55,56,56,56,57,57,57,57,58,58,58,58,59,59,60,60,60,61,61,62
"Hungary","HUN","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",68,69,68,69,69,69,70,69,69,69,69,69,70,70,69,69,70,70,69,70,69,69,69,69,69,69,69,70,70,69,69,69,69,69,69,70,70,71,71,71,71,72,72,72,73,73,73,73,74,74,74,75
"Indonesia","IDN","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",49,49,50,50,51,52,52,53,53,54,55,55,56,56,57,57,58,58,59,59,60,60,60,61,61,62,62,62,63,63,63,64,64,64,65,65,65,66,66,66,66,66,67,67,67,67,67,68,68,68,68,68
"India","IND","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",41,42,42,43,44,44,45,46,46,47,48,48,49,50,50,51,52,52,53,53,54,54,55,55,55,56,56,57,57,57,58,58,59,59,60,60,61,61,62,62,63,63,63,64,64,65,65,65,66,66,67,67
"Ireland","IRL","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",70,70,70,70,70,71,71,71,71,71,71,71,71,71,71,72,72,72,72,72,73,73,73,73,73,74,74,74,74,75,75,75,75,75,75,76,76,76,76,76,77,77,78,78,79,79,79,80,80,80,81,81
"Iran, Islamic Rep.","IRN","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",45,46,46,47,47,48,48,49,50,50,51,52,53,53,54,55,56,56,56,55,55,54,54,54,55,56,57,59,61,62,64,65,66,67,68,68,69,69,69,70,70,71,71,71,72,72,72,73,73,74,74,74
"Iraq","IRQ","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",48,49,50,52,53,54,55,56,57,57,58,59,59,60,61,61,61,61,61,61,60,60,60,60,61,62,63,65,66,67,68,69,70,70,71,71,71,71,71,71,71,71,70,70,70,69,69,69,69,69,69,69
"Iceland","ISL","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",73,74,74,73,74,74,73,74,74,74,74,74,74,74,75,76,77,76,77,77,77,77,77,77,78,78,78,77,77,78,78,78,79,79,79,78,79,79,80,79,80,81,81,81,81,82,81,81,82,82,82,82
"Israel","ISR","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",53,72,72,55,55,55,72,72,71,71,71,72,71,72,72,72,73,73,73,74,74,74,74,74,75,75,75,75,74,76,77,77,77,77,77,77,78,78,78,79,79,79,79,80,80,80,81,81,81,81,82,82
"Italy","ITA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",69,70,69,69,70,70,71,71,71,71,72,72,72,72,73,73,73,73,74,74,74,74,75,75,75,75,76,76,76,77,77,77,77,78,78,78,79,79,79,79,80,80,80,80,81,81,81,81,81,82,82,82
"Jamaica","JAM","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",64,65,65,66,66,67,67,67,68,68,68,68,69,69,69,69,70,70,70,70,70,71,71,71,71,71,71,71,71,71,71,71,70,70,70,70,70,70,70,70,70,71,71,71,71,71,72,72,72,73,73,73
"Jordan","JOR","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",53,53,54,55,56,57,57,58,59,59,60,61,62,62,63,64,64,65,65,66,66,67,67,68,68,68,69,69,69,70,70,70,70,71,71,71,71,71,71,72,72,72,72,72,72,73,73,73,73,73,73,74
"Japan","JPN","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",68,68,69,70,70,70,71,71,72,72,72,73,74,74,74,75,75,76,76,76,76,76,77,77,77,78,78,78,78,79,79,79,79,79,80,80,80,80,81,81,81,81,82,82,82,82,82,83,83,83,83,83
"Kazakhstan","KAZ","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",58,59,59,60,60,60,61,61,62,62,62,63,63,63,63,63,64,64,64,64,67,67,67,68,69,69,69,69,69,68,68,68,68,67,66,65,64,64,65,66,66,66,66,66,66,66,66,67,67,68,68,69
"Kenya","KEN","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",46,47,48,48,49,49,50,51,51,52,52,53,53,54,54,55,56,56,57,57,58,58,59,59,59,60,60,60,59,59,59,58,57,57,56,54,53,52,52,51,51,51,51,52,53,54,55,56,57,58,59,60
"Kyrgyz Republic","KGZ","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",56,57,57,57,58,58,59,59,60,60,60,61,61,61,61,62,62,62,62,63,63,63,64,64,65,65,65,66,66,68,68,69,68,67,66,66,67,67,67,67,69,69,68,68,68,68,68,68,68,69,69,70
"Cambodia","KHM","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",41,41,42,42,42,42,42,42,43,42,42,40,37,33,28,24,21,19,20,23,28,33,39,44,48,50,52,52,53,53,54,54,54,54,55,55,56,56,57,58,58,59,60,61,62,63,64,65,65,66,66,67
"Korea, Rep.","KOR","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",53,54,54,55,56,57,58,59,59,60,62,62,63,63,64,64,64,65,65,65,66,66,67,67,68,69,69,70,70,71,71,72,72,73,73,73,74,74,75,75,76,76,77,77,78,78,79,79,80,80,81,81
"Kuwait","KWT","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",60,61,62,62,63,64,64,65,65,66,66,67,67,67,68,68,68,69,69,69,70,70,70,71,71,71,71,72,72,72,72,72,73,73,73,73,73,73,73,73,73,73,74,74,74,74,74,74,74,74,74,74
"Lao PDR","LAO","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",43,44,44,44,44,45,45,45,46,46,46,47,47,47,47,48,48,48,48,49,49,49,50,50,51,51,52,52,53,53,54,54,55,55,56,56,57,57,58,58,59,59,60,61,61,62,62,63,63,64,64,65
"Lebanon","LBN","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",63,64,64,64,64,65,65,65,66,66,66,66,67,67,67,67,67,68,68,68,68,68,68,68,69,69,69,69,70,70,70,71,71,71,72,72,73,73,73,74,74,75,75,76,77,77,78,78,79,79,79,80
"Liberia","LBR","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",35,35,35,36,36,37,37,38,38,39,39,40,41,41,42,43,43,44,45,45,46,46,47,47,47,47,47,47,47,47,47,47,48,48,49,50,51,52,52,52,52,53,53,53,54,55,56,57,58,59,59,60
"Libya","LBY","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",43,44,46,47,49,50,52,53,54,55,56,57,58,59,60,61,61,62,63,64,64,65,65,66,66,67,67,68,68,68,69,69,69,70,70,70,70,70,70,70,71,71,71,71,71,71,72,72,72,72,72,72
"Sri Lanka","LKA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",60,60,61,61,61,62,62,63,63,64,64,65,65,65,66,66,67,67,67,68,68,69,69,69,69,69,69,69,69,70,70,70,70,70,70,69,69,70,70,70,71,72,73,73,73,74,74,74,74,74,74,74
"Lesotho","LSO","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",47,47,47,48,48,48,48,48,49,49,49,49,50,50,50,51,51,52,52,53,54,54,55,55,56,56,57,57,58,59,59,60,60,59,58,57,55,53,51,49,47,46,45,44,44,44,44,45,46,47,47,48
"Lithuania","LTU","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",70,70,69,70,72,71,72,72,71,71,71,72,71,71,71,71,71,71,71,70,70,70,71,71,70,71,72,72,72,71,71,70,70,69,69,69,70,71,71,72,72,72,72,72,72,71,71,71,72,73,73,74
"Luxembourg","LUX","Life expectancy at birth, total (years)","SP.DYN.LE00.IN",68,69,69,69,69,70,70,70,70,70,70,70,70,70,71,71,71,71,72,72,72,72,73,73,73,74,74,74,74,75,75,75,76,76,76,77,77,77,77,78,78,78,78,78,79,79,79,79,81,81,81,81
